Date,Open,High,Low,Close,Volume
2005-01-03 00:00:00+09:00,132.11033630371094,132.11033630371094,132.11033630371094,132.11033630371094,0
2005-01-04 00:00:00+09:00,132.11033630371094,132.11033630371094,132.11033630371094,132.11033630371094,0
2005-01-05 00:00:00+09:00,132.11033630371094,132.11033630371094,132.11033630371094,132.11033630371094,0
2005-01-06 00:00:00+09:00,132.11033630371094,132.11033630371094,132.11033630371094,132.11033630371094,0
2005-01-07 00:00:00+09:00,132.11033630371094,132.11033630371094,132.11033630371094,132.11033630371094,0
2005-01-10 00:00:00+09:00,132.11033630371094,132.11033630371094,132.11033630371094,132.11033630371094,0
2005-01-11 00:00:00+09:00,132.11033630371094,132.11033630371094,132.11033630371094,132.11033630371094,0
2005-01-12 00:00:00+09:00,132.11033630371094,132.11033630371094,132.11033630371094,132.11033630371094,0
2005-01-13 00:00:00+09:00,132.11033630371094,132.11033630371094,132.11033630371094,132.11033630371094,0
2005-01-14 00:00:00+09:00,132.11033630371094,132.11033630371094,132.11033630371094,132.11033630371094,0
2005-01-17 00:00:00+09:00,132.11033630371094,132.11033630371094,132.11033630371094,132.11033630371094,0
2005-01-18 00:00:00+09:00,132.11033630371094,132.11033630371094,132.11033630371094,132.11033630371094,0
2005-01-19 00:00:00+09:00,132.11033630371094,132.11033630371094,132.11033630371094,132.11033630371094,0
2005-01-20 00:00:00+09:00,132.11033630371094,132.11033630371094,132.11033630371094,132.11033630371094,0
2005-01-21 00:00:00+09:00,132.11033630371094,132.11033630371094,132.11033630371094,132.11033630371094,0
2005-01-24 00:00:00+09:00,132.11033630371094,132.11033630371094,132.11033630371094,132.11033630371094,0
2005-01-25 00:00:00+09:00,132.11033630371094,132.11033630371094,132.11033630371094,132.11033630371094,0
2005-01-26 00:00:00+09:00,132.11033630371094,132.11033630371094,132.11033630371094,132.11033630371094,0
2005-01-27 00:00:00+09:00,132.11033630371094,132.11033630371094,132.11033630371094,132.11033630371094,0
2005-01-28 00:00:00+09:00,132.11033630371094,132.11033630371094,132.11033630371094,132.11033630371094,0
2005-01-31 00:00:00+09:00,132.11033630371094,132.11033630371094,132.11033630371094,132.11033630371094,0
2005-02-01 00:00:00+09:00,132.11033630371094,132.11033630371094,132.11033630371094,132.11033630371094,0
2005-02-02 00:00:00+09:00,132.11033630371094,132.11033630371094,132.11033630371094,132.11033630371094,0
2005-02-03 00:00:00+09:00,132.11033630371094,132.11033630371094,132.11033630371094,132.11033630371094,0
2005-02-04 00:00:00+09:00,132.11033630371094,132.11033630371094,132.11033630371094,132.11033630371094,0
2005-02-07 00:00:00+09:00,132.11033630371094,132.11033630371094,132.11033630371094,132.11033630371094,0
2005-02-08 00:00:00+09:00,132.11033630371094,132.11033630371094,132.11033630371094,132.11033630371094,0
2005-02-09 00:00:00+09:00,132.11033630371094,132.11033630371094,132.11033630371094,132.11033630371094,0
2005-02-10 00:00:00+09:00,132.11033630371094,132.11033630371094,132.11033630371094,132.11033630371094,0
2005-02-11 00:00:00+09:00,132.11033630371094,132.11033630371094,132.11033630371094,132.11033630371094,0
2005-02-14 00:00:00+09:00,132.11033630371094,132.11033630371094,132.11033630371094,132.11033630371094,0
2005-02-15 00:00:00+09:00,132.11033630371094,132.11033630371094,132.11033630371094,132.11033630371094,0
2005-02-16 00:00:00+09:00,132.11033630371094,132.11033630371094,132.11033630371094,132.11033630371094,0
2005-02-17 00:00:00+09:00,132.11033630371094,132.11033630371094,132.11033630371094,132.11033630371094,0
2005-02-18 00:00:00+09:00,132.11033630371094,132.11033630371094,132.11033630371094,132.11033630371094,0
2005-02-21 00:00:00+09:00,132.11033630371094,132.11033630371094,132.11033630371094,132.11033630371094,0
2005-02-22 00:00:00+09:00,132.11033630371094,132.11033630371094,132.11033630371094,132.11033630371094,0
2005-02-23 00:00:00+09:00,132.11033630371094,132.11033630371094,132.11033630371094,132.11033630371094,0
2005-02-24 00:00:00+09:00,132.11033630371094,132.11033630371094,132.11033630371094,132.11033630371094,0
2005-02-25 00:00:00+09:00,132.11033630371094,132.11033630371094,132.11033630371094,132.11033630371094,0
2005-02-28 00:00:00+09:00,132.11033630371094,132.11033630371094,132.11033630371094,132.11033630371094,0
2005-03-01 00:00:00+09:00,132.11033630371094,132.11033630371094,132.11033630371094,132.11033630371094,0
2005-03-02 00:00:00+09:00,132.11033630371094,132.11033630371094,132.11033630371094,132.11033630371094,0
2005-03-03 00:00:00+09:00,132.11033630371094,132.11033630371094,132.11033630371094,132.11033630371094,0
2005-03-04 00:00:00+09:00,132.11033630371094,132.11033630371094,132.11033630371094,132.11033630371094,0
2005-03-07 00:00:00+09:00,132.11033630371094,132.11033630371094,132.11033630371094,132.11033630371094,0
2005-03-08 00:00:00+09:00,132.11033630371094,132.11033630371094,132.11033630371094,132.11033630371094,0
2005-03-09 00:00:00+09:00,132.11033630371094,132.11033630371094,132.11033630371094,132.11033630371094,0
2005-03-10 00:00:00+09:00,132.11033630371094,132.11033630371094,132.11033630371094,132.11033630371094,0
2005-03-11 00:00:00+09:00,132.11033630371094,132.11033630371094,132.11033630371094,132.11033630371094,0
2005-03-14 00:00:00+09:00,132.11033630371094,132.11033630371094,132.11033630371094,132.11033630371094,0
2005-03-15 00:00:00+09:00,132.11033630371094,132.11033630371094,132.11033630371094,132.11033630371094,0
2005-03-16 00:00:00+09:00,132.11033630371094,132.11033630371094,132.11033630371094,132.11033630371094,0
2005-03-17 00:00:00+09:00,132.11033630371094,132.11033630371094,132.11033630371094,132.11033630371094,0
2005-03-18 00:00:00+09:00,132.11033630371094,132.11033630371094,132.11033630371094,132.11033630371094,0
2005-03-21 00:00:00+09:00,132.11033630371094,132.11033630371094,132.11033630371094,132.11033630371094,0
2005-03-22 00:00:00+09:00,132.11033630371094,132.11033630371094,132.11033630371094,132.11033630371094,0
2005-03-23 00:00:00+09:00,132.11033630371094,132.11033630371094,132.11033630371094,132.11033630371094,0
2005-03-24 00:00:00+09:00,132.11033630371094,132.11033630371094,132.11033630371094,132.11033630371094,0
2005-03-25 00:00:00+09:00,132.11033630371094,132.11033630371094,132.11033630371094,132.11033630371094,0
2005-03-28 00:00:00+09:00,132.11033630371094,132.11033630371094,132.11033630371094,132.11033630371094,0
2005-03-29 00:00:00+09:00,132.11033630371094,132.11033630371094,132.11033630371094,132.11033630371094,0
2005-03-30 00:00:00+09:00,132.11033630371094,132.11033630371094,132.11033630371094,132.11033630371094,0
2005-03-31 00:00:00+09:00,132.11033630371094,132.11033630371094,132.11033630371094,132.11033630371094,0
2005-04-01 00:00:00+09:00,132.11033630371094,132.11033630371094,132.11033630371094,132.11033630371094,0
2005-04-04 00:00:00+09:00,132.11033630371094,132.11033630371094,132.11033630371094,132.11033630371094,0
2005-04-05 00:00:00+09:00,132.11033630371094,132.11033630371094,132.11033630371094,132.11033630371094,0
2005-04-06 00:00:00+09:00,132.11033630371094,132.11033630371094,132.11033630371094,132.11033630371094,0
2005-04-07 00:00:00+09:00,132.11033630371094,132.11033630371094,132.11033630371094,132.11033630371094,0
2005-04-08 00:00:00+09:00,132.11033630371094,132.11033630371094,132.11033630371094,132.11033630371094,0
2005-04-11 00:00:00+09:00,132.11033630371094,132.11033630371094,132.11033630371094,132.11033630371094,0
2005-04-12 00:00:00+09:00,132.11033630371094,132.11033630371094,132.11033630371094,132.11033630371094,0
2005-04-13 00:00:00+09:00,132.11033630371094,132.11033630371094,132.11033630371094,132.11033630371094,0
2005-04-14 00:00:00+09:00,132.11033630371094,132.11033630371094,132.11033630371094,132.11033630371094,0
2005-04-15 00:00:00+09:00,132.11033630371094,132.11033630371094,132.11033630371094,132.11033630371094,0
2005-04-18 00:00:00+09:00,132.11033630371094,132.11033630371094,132.11033630371094,132.11033630371094,0
2005-04-19 00:00:00+09:00,132.11033630371094,132.11033630371094,132.11033630371094,132.11033630371094,0
2005-04-20 00:00:00+09:00,132.11033630371094,132.11033630371094,132.11033630371094,132.11033630371094,0
2005-04-21 00:00:00+09:00,132.11033630371094,132.11033630371094,132.11033630371094,132.11033630371094,0
2005-04-22 00:00:00+09:00,132.11033630371094,132.11033630371094,132.11033630371094,132.11033630371094,0
2005-04-25 00:00:00+09:00,132.11033630371094,132.11033630371094,132.11033630371094,132.11033630371094,0
2005-04-26 00:00:00+09:00,132.11033630371094,132.11033630371094,132.11033630371094,132.11033630371094,0
2005-04-27 00:00:00+09:00,132.11033630371094,132.11033630371094,132.11033630371094,132.11033630371094,0
2005-04-28 00:00:00+09:00,132.11033630371094,132.11033630371094,132.11033630371094,132.11033630371094,0
2005-04-29 00:00:00+09:00,132.11033630371094,132.11033630371094,132.11033630371094,132.11033630371094,0
2005-05-02 00:00:00+09:00,132.11033630371094,132.11033630371094,132.11033630371094,132.11033630371094,0
2005-05-03 00:00:00+09:00,132.11033630371094,132.11033630371094,132.11033630371094,132.11033630371094,0
2005-05-04 00:00:00+09:00,132.11033630371094,132.11033630371094,132.11033630371094,132.11033630371094,0
2005-05-05 00:00:00+09:00,132.11033630371094,132.11033630371094,132.11033630371094,132.11033630371094,0
2005-05-06 00:00:00+09:00,132.11033630371094,132.11033630371094,132.11033630371094,132.11033630371094,0
2005-05-09 00:00:00+09:00,132.11033630371094,132.11033630371094,132.11033630371094,132.11033630371094,0
2005-05-10 00:00:00+09:00,132.11033630371094,132.11033630371094,132.11033630371094,132.11033630371094,0
2005-05-11 00:00:00+09:00,132.11033630371094,132.11033630371094,132.11033630371094,132.11033630371094,0
2005-05-12 00:00:00+09:00,132.11033630371094,132.11033630371094,132.11033630371094,132.11033630371094,0
2005-05-13 00:00:00+09:00,132.11033630371094,132.11033630371094,132.11033630371094,132.11033630371094,0
2005-05-16 00:00:00+09:00,132.11033630371094,132.11033630371094,132.11033630371094,132.11033630371094,0
2005-05-17 00:00:00+09:00,132.11033630371094,132.11033630371094,132.11033630371094,132.11033630371094,0
2005-05-18 00:00:00+09:00,132.11033630371094,132.11033630371094,132.11033630371094,132.11033630371094,0
2005-05-19 00:00:00+09:00,132.11033630371094,132.11033630371094,132.11033630371094,132.11033630371094,0
2005-05-20 00:00:00+09:00,132.11033630371094,132.11033630371094,132.11033630371094,132.11033630371094,0
2005-05-23 00:00:00+09:00,132.11033630371094,132.11033630371094,132.11033630371094,132.11033630371094,0
2005-05-24 00:00:00+09:00,132.11033630371094,132.11033630371094,132.11033630371094,132.11033630371094,0
2005-05-25 00:00:00+09:00,132.11033630371094,132.11033630371094,132.11033630371094,132.11033630371094,0
2005-05-26 00:00:00+09:00,132.11033630371094,132.11033630371094,132.11033630371094,132.11033630371094,0
2005-05-27 00:00:00+09:00,132.11033630371094,132.11033630371094,132.11033630371094,132.11033630371094,0
2005-05-30 00:00:00+09:00,132.11033630371094,132.11033630371094,132.11033630371094,132.11033630371094,0
2005-05-31 00:00:00+09:00,132.11033630371094,132.11033630371094,132.11033630371094,132.11033630371094,0
2005-06-01 00:00:00+09:00,132.11033630371094,132.11033630371094,132.11033630371094,132.11033630371094,0
2005-06-02 00:00:00+09:00,132.11033630371094,132.11033630371094,132.11033630371094,132.11033630371094,0
2005-06-03 00:00:00+09:00,132.11033630371094,132.11033630371094,132.11033630371094,132.11033630371094,0
